Nome,Descricao,Estrelas,Forks,Ultima_Atualizacao,Linguagem_Principal,URL
.allstar,,8,2,2025-02-18T21:27:33Z,,https://github.com/google/.allstar
.github,default configuration for @google repos,102,301,2025-06-14T08:25:47Z,,https://github.com/google/.github
0x0g-2018-badge,,19,5,2024-10-25T12:30:23Z,C,https://github.com/google/0x0g-2018-badge
aarch64-esr-decoder,A utility for decoding aarch64 ESR register values.,91,19,2025-06-23T09:44:33Z,Rust,https://github.com/google/aarch64-esr-decoder
aarch64-paging,A Rust library to manipulate AArch64 VMSA EL1 page tables.,33,10,2025-06-24T08:49:55Z,Rust,https://github.com/google/aarch64-paging
aarch64-rt,Startup code and exception vector for bare-metal Rust on aarch64 Cortex-A processors.,4,3,2025-06-24T13:26:49Z,Rust,https://github.com/google/aarch64-rt
abpackage,An R package for AB testing leveraging pre-period information,67,13,2025-03-28T22:14:51Z,R,https://github.com/google/abpackage
abseil-cpp-binary,Binary distribution of the Abseil library.,13,3,2025-06-22T15:00:39Z,Swift,https://github.com/google/abseil-cpp-binary
abstracttext,MediaWiki extension to handle multilingual abstract content,79,10,2025-05-21T14:18:25Z,JavaScript,https://github.com/google/abstracttext
abstreet,,36,6,2024-10-25T12:31:05Z,Rust,https://github.com/google/abstreet
acai,Testing library for JUnit4 and Guice.,76,28,2024-12-05T16:27:22Z,Java,https://github.com/google/acai
access-bridge-explorer,Explore accessibility tree of Java Access Bridge enabled applications,124,56,2025-06-08T23:59:41Z,C#,https://github.com/google/access-bridge-explorer
Accessibility-Test-Framework-for-Android,Accessibility checks for automated Android testing,479,138,2025-06-23T06:28:09Z,Java,https://github.com/google/Accessibility-Test-Framework-for-Android
accname,,34,7,2025-05-21T08:55:15Z,TypeScript,https://github.com/google/accname
accompanist,A collection of extension libraries for Jetpack Compose,7668,628,2025-06-25T12:06:14Z,Kotlin,https://github.com/google/accompanist
account-provisioning-for-google-apps,,51,20,2024-10-25T11:14:11Z,Java,https://github.com/google/account-provisioning-for-google-apps
acjs,,10,0,2024-11-20T18:34:27Z,Go,https://github.com/google/acjs
acme,A simple ACME command line tool without 3rd party deps!,380,51,2025-05-12T07:41:19Z,Go,https://github.com/google/acme
across,ACROSS - Attributing Contributor Roles in Open Source Software,20,8,2025-03-02T05:34:55Z,HTML,https://github.com/google/across
actions-on-google-flashcards-template-sdk,,9,5,2024-10-25T12:13:26Z,JavaScript,https://github.com/google/actions-on-google-flashcards-template-sdk
actions-on-google-pq2-template-sdk,,14,6,2024-10-25T12:18:18Z,JavaScript,https://github.com/google/actions-on-google-pq2-template-sdk
actions-on-google-template-sdk,,14,7,2025-03-28T09:27:34Z,,https://github.com/google/actions-on-google-template-sdk
actions-on-google-trivia-template-sdk,,18,8,2024-10-25T12:13:28Z,JavaScript,https://github.com/google/actions-on-google-trivia-template-sdk
active-learning,,1158,209,2025-06-20T05:56:10Z,Python,https://github.com/google/active-learning
active-qa,,345,65,2025-01-19T13:16:29Z,Python,https://github.com/google/active-qa
ad-manager-alerter,,26,5,2025-04-22T16:39:53Z,Python,https://github.com/google/ad-manager-alerter
adapt-googleanalytics,,8,6,2023-03-29T17:00:46Z,JavaScript,https://github.com/google/adapt-googleanalytics
adb-sync,,1096,178,2025-05-26T15:04:50Z,Python,https://github.com/google/adb-sync
adcase,,7,5,2025-03-02T15:43:06Z,Python,https://github.com/google/adcase
addlicense,A program which ensures source code files have copyright license headers by scanning directory patterns recursively,783,183,2025-06-22T12:00:40Z,Go,https://github.com/google/addlicense
address-geocoder-js,,11,9,2024-10-25T12:35:06Z,HTML,https://github.com/google/address-geocoder-js
adh-deployment-manager,,5,3,2025-05-21T11:14:04Z,Python,https://github.com/google/adh-deployment-manager
adiantum,Adiantum and HPolyC specification and test vectors,475,48,2025-06-16T21:02:53Z,C,https://github.com/google/adiantum
adk-docs,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",301,214,2025-06-25T10:08:32Z,HTML,https://github.com/google/adk-docs
adk-java,"An open-source, code-first Java toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",344,58,2025-06-25T14:00:35Z,Java,https://github.com/google/adk-java
adk-python,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",10410,1344,2025-06-25T14:22:39Z,Python,https://github.com/google/adk-python
adk-samples,A collection of sample agents built with Agent Development (ADK) ,3190,870,2025-06-25T13:59:19Z,Python,https://github.com/google/adk-samples
adk-web,Agent Development Kit Web (adk web) is the built-in developer UI that is integrated with Agent Development Kit for easier agent development and debugging. ,153,45,2025-06-24T21:51:58Z,TypeScript,https://github.com/google/adk-web
ads-account-structure-script,,25,6,2025-05-10T12:43:46Z,JavaScript,https://github.com/google/ads-account-structure-script
ads-api-report-fetcher,Google Ads API Report Fetcher (gaarf),49,15,2025-06-24T09:00:38Z,TypeScript,https://github.com/google/ads-api-report-fetcher
ads-bi-suite,,17,2,2025-04-09T10:25:05Z,Shell,https://github.com/google/ads-bi-suite
ads-placement-excluder,,10,1,2025-03-02T15:18:51Z,Python,https://github.com/google/ads-placement-excluder
ads-privacy,,403,128,2025-06-24T02:15:55Z,,https://github.com/google/ads-privacy
ads_oneshop,,17,6,2025-06-05T13:55:41Z,Python,https://github.com/google/ads_oneshop
ad_language_monitor,,5,0,2024-10-25T11:24:45Z,JavaScript,https://github.com/google/ad_language_monitor
aegis_cipher,,23,4,2025-05-14T10:07:26Z,C++,https://github.com/google/aegis_cipher
AEUX,Editable After Effects layers from Sketch artboards,539,60,2025-06-21T05:54:01Z,JavaScript,https://github.com/google/AEUX
AFL,american fuzzy lop - a security-oriented fuzzer,3911,662,2025-06-24T15:24:47Z,C,https://github.com/google/AFL
agamotto,Machine Learning to gather insights from physical locations,18,3,2025-03-17T18:28:27Z,Python,https://github.com/google/agamotto
agata,A simple UI layer for visualizing Google Analytics v4 hits on Android apps,14,7,2024-10-25T12:35:15Z,JavaScript,https://github.com/google/agata
agency-ads-management-solutions,,11,5,2024-10-25T12:19:01Z,JavaScript,https://github.com/google/agency-ads-management-solutions
agera,Reactive Programming for Android,7171,633,2025-06-25T05:02:41Z,Java,https://github.com/google/agera
agi,Android GPU Inspector,997,150,2025-06-22T21:53:06Z,Go,https://github.com/google/agi
agi-dev-releases,,35,8,2025-05-12T06:10:41Z,Shell,https://github.com/google/agi-dev-releases
ahdlc,,14,4,2024-10-25T12:31:23Z,C,https://github.com/google/ahdlc
ai-weather-climate,,17,5,2024-11-05T08:11:22Z,Python,https://github.com/google/ai-weather-climate
aichoreographer,AI Choreographer Project Webpage: https://google.github.io/aichoreographer/,19,4,2025-03-18T09:21:11Z,HTML,https://github.com/google/aichoreographer
aidl-language,"VSCode extension providing syntax highlighting for AIDL, the Android Interface Definition Language.",19,4,2025-06-15T23:46:52Z,,https://github.com/google/aidl-language
airdialogue,,45,11,2025-03-19T07:58:14Z,Python,https://github.com/google/airdialogue
airdialogue_model,,17,12,2024-11-16T08:22:35Z,Python,https://github.com/google/airdialogue_model
airio,,20,9,2025-06-17T02:35:20Z,Python,https://github.com/google/airio
aistplusplus_api,API to support AIST++ Dataset: https://google.github.io/aistplusplus_dataset,373,66,2025-06-06T10:00:36Z,Python,https://github.com/google/aistplusplus_api
aistplusplus_dataset,AIST++ Dataset Webpage: https://google.github.io/aistplusplus_dataset,16,4,2025-05-06T02:56:52Z,JavaScript,https://github.com/google/aistplusplus_dataset
aistreamer,Google AIStreamer,152,58,2025-06-25T05:21:26Z,C++,https://github.com/google/aistreamer
aistreams,,7,4,2024-10-25T12:15:21Z,C++,https://github.com/google/aistreams
aiyprojects-deeplearn-tensorflow,A TensorFlow integration for deeplearn.js which allows to load tensorflow checkpoint files directly.,39,10,2024-10-25T12:32:07Z,TypeScript,https://github.com/google/aiyprojects-deeplearn-tensorflow
aiyprojects-raspbian," API libraries, samples, and system images for AIY Projects (Voice Kit and Vision Kit)",1650,697,2025-06-18T18:32:50Z,Python,https://github.com/google/aiyprojects-raspbian
aiyprojects-raspbian-tools,,12,6,2024-10-25T12:09:50Z,Python,https://github.com/google/aiyprojects-raspbian-tools
ai_assisted_display_creative,,16,0,2024-10-25T11:31:23Z,Python,https://github.com/google/ai_assisted_display_creative
ai_video_dubbing,,51,7,2025-05-25T11:43:56Z,Python,https://github.com/google/ai_video_dubbing
alertmanager-irc-relay,Send Prometheus Alerts to IRC using Webhooks,58,19,2025-06-02T13:44:36Z,Go,https://github.com/google/alertmanager-irc-relay
alioth,Experimental KVM-based type-2 hypervisor in Rust implemented from scratch.,259,16,2025-06-24T06:32:56Z,Rust,https://github.com/google/alioth
allied-oscillators,,9,3,2025-05-06T03:04:43Z,JavaScript,https://github.com/google/allied-oscillators
alligator2,A sample integration between the Google My Business API and the Cloud Natural Language API,42,23,2025-06-15T18:21:26Z,Python,https://github.com/google/alligator2
allocation-instrumenter,A Java agent that rewrites bytecode to instrument allocation sites,483,90,2025-04-28T13:41:42Z,Java,https://github.com/google/allocation-instrumenter
